Category,Gila
Total_doses_administered,61762
Total_people_one_dose,27435
Total_people_complete,24180
total_pouluation,27435
Male-65 years and older,6016
Male-55-64 years,2261
Male-45-54 years,1295
Male-20-44 years,2610
Male-Less than 20 years,946
Female-65 years and older,6387
Female-55-64 years,2661
Female-45-54 years,1443
Female-20-44 years,2774
Female-Less than 20 years,987
"Black or African American, non-Hispanic",98
"Asian or Pacific Islander, non-Hispanic",226
Hispanic or Latino,1609
"American Indian or Alaska Native, non-Hispanic",2994
Other Race,4432
Unknown,4518
"White, non-Hispanic",13558
