Category,Cochise
Total_doses_administered,194983
Total_people_one_dose,92051
Total_people_complete,76742
total_pouluation,92051
Male-65 years and older,12104
Male-55-64 years,6041
Male-45-54 years,4864
Male-20-44 years,13152
Male-Less than 20 years,7403
Female-65 years and older,14127
Female-55-64 years,7140
Female-45-54 years,5465
Female-20-44 years,13953
Female-Less than 20 years,7695
"American Indian or Alaska Native, non-Hispanic",394
"Asian or Pacific Islander, non-Hispanic",1603
"Black or African American, non-Hispanic",1724
Unknown,11230
Other Race,12736
Hispanic or Latino,28975
"White, non-Hispanic",35389
