Category,Yavapai
Total_doses_administered,286355
Total_people_one_dose,129401
Total_people_complete,110442
total_pouluation,129401
Male-65 years and older,28642
Male-55-64 years,10082
Male-45-54 years,5534
Male-20-44 years,11421
Male-Less than 20 years,3360
Female-65 years and older,34570
Female-55-64 years,12695
Female-45-54 years,6587
Female-20-44 years,11575
Female-Less than 20 years,3718
"Black or African American, non-Hispanic",660
"American Indian or Alaska Native, non-Hispanic",1560
"Asian or Pacific Islander, non-Hispanic",1676
Hispanic or Latino,9373
Unknown,18990
Other Race,19093
"White, non-Hispanic",78049
