Category,Coconino
Total_doses_administered,216862
Total_people_one_dose,94510
Total_people_complete,84175
total_pouluation,94510
Male-65 years and older,8509
Male-55-64 years,6065
Male-45-54 years,5812
Male-20-44 years,17673
Male-Less than 20 years,6934
Female-65 years and older,9514
Female-55-64 years,6748
Female-45-54 years,5783
Female-20-44 years,20190
Female-Less than 20 years,7103
"Black or African American, non-Hispanic",832
"Asian or Pacific Islander, non-Hispanic",1750
Hispanic or Latino,7734
Other Race,8111
Unknown,11255
"American Indian or Alaska Native, non-Hispanic",24264
"White, non-Hispanic",40564
