Category,Greenlee
Total_doses_administered,10351
Total_people_one_dose,4528
Total_people_complete,4087
total_pouluation,4528
Male-65 years and older,518
Male-55-64 years,391
Male-45-54 years,338
Male-20-44 years,814
Male-Less than 20 years,248
Female-65 years and older,525
Female-55-64 years,319
Female-45-54 years,335
Female-20-44 years,782
Female-Less than 20 years,256
"Asian or Pacific Islander, non-Hispanic",51
"Black or African American, non-Hispanic",55
Other Race,99
"American Indian or Alaska Native, non-Hispanic",128
Unknown,302
"White, non-Hispanic",1844
Hispanic or Latino,2049
