Category,Graham
Total_doses_administered,43084
Total_people_one_dose,19330
Total_people_complete,17329
total_pouluation,19330
Male-65 years and older,2004
Male-55-64 years,1369
Male-45-54 years,1321
Male-20-44 years,3284
Male-Less than 20 years,1318
Female-65 years and older,2486
Female-55-64 years,1512
Female-45-54 years,1248
Female-20-44 years,3328
Female-Less than 20 years,1449
"Asian or Pacific Islander, non-Hispanic",68
"Black or African American, non-Hispanic",84
Other Race,870
Hispanic or Latino,2884
Unknown,3827
"White, non-Hispanic",5709
"American Indian or Alaska Native, non-Hispanic",5888
