Category,Maricopa
Total_doses_administered,6401829
Total_people_one_dose,2850814
Total_people_complete,2525664
total_pouluation,2850814
Male-65 years and older,300737
Male-55-64 years,198337
Male-45-54 years,194226
Male-20-44 years,470920
Male-Less than 20 years,180517
Female-65 years and older,375084
Female-55-64 years,222265
Female-45-54 years,209854
Female-20-44 years,503063
Female-Less than 20 years,181649
"American Indian or Alaska Native, non-Hispanic",56176
"Black or African American, non-Hispanic",113416
"Asian or Pacific Islander, non-Hispanic",145598
Unknown,193019
Other Race,446429
Hispanic or Latino,504947
"White, non-Hispanic",1391229
