Category,Apache
Total_doses_administered,79547
Total_people_one_dose,35135
Total_people_complete,30432
total_pouluation,35135
Male-65 years and older,3150
Male-55-64 years,2349
Male-45-54 years,1918
Male-20-44 years,4853
Male-Less than 20 years,4825
Female-65 years and older,3817
Female-55-64 years,2548
Female-45-54 years,1967
Female-20-44 years,4769
Female-Less than 20 years,4928
"Black or African American, non-Hispanic",70
"Asian or Pacific Islander, non-Hispanic",167
Hispanic or Latino,668
Unknown,1227
Other Race,1249
"White, non-Hispanic",3946
"American Indian or Alaska Native, non-Hispanic",27808
