Category,La Paz
Total_doses_administered,14863
Total_people_one_dose,8045
Total_people_complete,7072
total_pouluation,8045
Male-65 years and older,2224
Male-55-64 years,580
Male-45-54 years,300
Male-20-44 years,594
Male-Less than 20 years,240
Female-65 years and older,2279
Female-55-64 years,680
Female-45-54 years,351
Female-20-44 years,535
Female-Less than 20 years,246
"Black or African American, non-Hispanic",32
"Asian or Pacific Islander, non-Hispanic",85
"American Indian or Alaska Native, non-Hispanic",356
Hispanic or Latino,1161
Other Race,1171
Unknown,1845
"White, non-Hispanic",3395
