Category,Cochise
Total_doses_administered,128898
Total_people_one_dose,70568
Total_people_complete,62181
total_pouluation,70568
Male-65 years and older,10355
Male-55-64 years,5025
Male-45-54 years,3865
Male-20-44 years,10466
Male-Less than 20 years,3332
Female-65 years and older,12375
Female-55-64 years,6137
Female-45-54 years,4393
Female-20-44 years,11037
Female-Less than 20 years,3489
"American Indian or Alaska Native, non-Hispanic",304
"Asian or Pacific Islander, non-Hispanic",1326
"Black or African American, non-Hispanic",1347
Unknown,9326
Other Race,11466
Hispanic or Latino,17583
"White, non-Hispanic",29216
