Category,Arizona
Total_doses_administered,8022422
Total_people_complete,356056
total_pouluation,7189020
Total_people_one_dose,4205315
Male-65 years and older,525716
Male-55-64 years,308691
Male-45-54 years,277885
Male-20-44 years,679679
Male-Less than 20 years,187022
Female-65 years and older,646203
Female-55-64 years,352850
Female-45-54 years,300951
Female-20-44 years,711272
Female-Less than 20 years,195534
"Black or African American, non-Hispanic",119450
"Asian or Pacific Islander, non-Hispanic",153222
"American Indian or Alaska Native, non-Hispanic",157947
Unknown,456576
Other Race,681181
Hispanic or Latino,743176
"White, non-Hispanic",1893763
