Category,Santa Cruz
Total_doses_administered,84406
Total_people_one_dose,45692
Total_people_complete,41258
total_pouluation,45692
Male-65 years and older,4356
Male-55-64 years,3023
Male-45-54 years,3121
Male-20-44 years,8405
Male-Less than 20 years,3218
Female-65 years and older,5255
Female-55-64 years,3267
Female-45-54 years,3321
Female-20-44 years,8356
Female-Less than 20 years,3316
"Black or African American, non-Hispanic",46
"American Indian or Alaska Native, non-Hispanic",47
"Asian or Pacific Islander, non-Hispanic",167
Unknown,2841
Other Race,3121
"White, non-Hispanic",6678
Hispanic or Latino,32792
