Category,Graham
Total_doses_administered,37091
Total_people_one_dose,19448
Total_people_complete,17256
total_pouluation,19448
Male-65 years and older,2319
Male-55-64 years,1526
Male-45-54 years,1376
Male-20-44 years,3326
Male-Less than 20 years,817
Female-65 years and older,2789
Female-55-64 years,1661
Female-45-54 years,1348
Female-20-44 years,3347
Female-Less than 20 years,927
"Black or African American, non-Hispanic",80
"Asian or Pacific Islander, non-Hispanic",89
Other Race,1531
Hispanic or Latino,3395
Unknown,4140
"American Indian or Alaska Native, non-Hispanic",4694
"White, non-Hispanic",5519
