Category,Coconino
Total_doses_administered,165246
Total_people_one_dose,86093
Total_people_complete,77463
total_pouluation,86093
Male-65 years and older,8860
Male-55-64 years,6022
Male-45-54 years,5481
Male-20-44 years,16045
Male-Less than 20 years,4144
Female-65 years and older,10074
Female-55-64 years,6817
Female-45-54 years,5624
Female-20-44 years,18317
Female-Less than 20 years,4454
"Black or African American, non-Hispanic",657
"Asian or Pacific Islander, non-Hispanic",1388
Hispanic or Latino,6184
Other Race,10558
Unknown,15186
"American Indian or Alaska Native, non-Hispanic",18785
"White, non-Hispanic",33335
