Category,Gila
Total_doses_administered,45713
Total_people_one_dose,24499
Total_people_complete,21793
total_pouluation,24499
Male-65 years and older,5502
Male-55-64 years,2152
Male-45-54 years,1201
Male-20-44 years,2248
Male-Less than 20 years,555
Female-65 years and older,5956
Female-55-64 years,2488
Female-45-54 years,1344
Female-20-44 years,2365
Female-Less than 20 years,630
"Black or African American, non-Hispanic",78
"Asian or Pacific Islander, non-Hispanic",200
Hispanic or Latino,1309
"American Indian or Alaska Native, non-Hispanic",2365
Other Race,4445
Unknown,5072
"White, non-Hispanic",11030
