Category,Arizona,Apache,Coconino,Cochise,Graham,Greenlee,Gila,La Paz,Maricopa,Mohave,Navajo,Pinal,Pima,Santa Cruz,Yavapai,Yuma
Total_doses_administered,8022422,36787,165246,128898,37091,7712,45713,14863,4749703,151513,80267,431645,1282788,84406,198257,251477
Total_people_complete,356056,12900,77463,62181,17256,3528,21793,7072,2166016,70363,36002,204391,592515,41258,92250,117638
total_pouluation,7189020,20500,86093,70568,19448,4058,24499,8045,2447976,83019,43275,230827,661706,45692,108621,135818
Total_people_one_dose,4205315,20500,86093,70568,19448,4058,24499,8045,2447976,83019,43275,230827,661706,45692,108621,135818
Male-65 years and older,525716,2153,8860,10355,2319,495,5502,2224,272421,19119,6816,34691,86509,4356,23882,14669
Male-55-64 years,308691,1475,6022,5025,1526,372,2152,580,180131,7731,3330,17430,45653,3023,8680,9580
Male-45-54 years,277885,1123,5481,3865,1376,311,1201,300,173499,3976,2434,15745,38985,3121,4740,8565
Male-20-44 years,679679,2663,16045,10466,3326,753,2248,594,409390,6822,5229,34545,103232,8405,9414,25268
Male-Less than 20 years,187022,2686,4144,3332,817,143,555,240,110271,1430,3145,9450,29062,3218,2206,7876
Female-65 years and older,646203,2512,10074,12375,2789,495,5956,2279,341663,21630,7696,40294,112806,5255,29787,17194
Female-55-64 years,352850,1543,6817,6137,1661,315,2488,680,203589,9099,3796,19791,54951,3267,11073,10267
Female-45-54 years,300951,1112,5624,4393,1348,312,1344,351,189043,4511,2433,16121,44566,3321,5625,9458
Female-20-44 years,711272,2469,18317,11037,3347,713,2365,535,439061,6922,5039,32521,113758,8356,9548,24073
Female-Less than 20 years,195534,2756,4454,3489,927,147,630,246,114512,1607,3324,9496,30754,3316,2518,8417
"Black or African American, non-Hispanic",119450,47,657,1347,80,40,78,32,88526,515,182,7954,13406,46,482,681
"Asian or Pacific Islander, non-Hispanic",153222,109,1388,1326,89,40,200,85,117078,1184,355,4520,18780,167,1231,1040
"American Indian or Alaska Native, non-Hispanic",157947,14172,18785,304,4694,98,2365,356,44932,609,16727,8137,12886,47,1218,1033
Unknown,456576,1273,15186,9326,4140,304,5072,1845,185985,12942,2466,30956,83508,2841,24874,30148
Other Race,681181,1233,10558,11466,1531,109,4445,1171,447139,14948,7895,30528,93704,3121,16996,14947
Hispanic or Latino,743176,468,6184,17583,3395,1814,1309,1161,393408,6355,2203,36251,151584,32792,7149,60187
"White, non-Hispanic",1893763,3198,33335,29216,5519,1653,11030,3395,1170908,46466,13447,112481,287838,6678,56671,27782
