Category,Arizona,Apache,Coconino,Cochise,Graham,Greenlee,Gila,La Paz,Maricopa,Mohave,Navajo,Pinal,Pima,Santa Cruz,Yavapai,Yuma
Total_doses_administered,9652532,60806,204489,163756,43674,9388,55809,18018,5587806,185016,99691,516543,1566750,109354,246180,312946
Total_people_complete,3937828,22667,81776,67003,18534,3778,22914,7535,2304141,76466,40496,219955,627881,44581,98950,127314
total_pouluation,7189020,29311,94756,81231,21089,4381,26082,8952,2648931,90279,49091,252301,729925,56472,117445,157711
Total_people_one_dose,4649267,29311,94756,81231,21089,4381,26082,8952,2648931,90279,49091,252301,729925,56472,117445,157711
Male-65 years and older,567442,2792,9432,11259,2406,516,5826,2419,285906,20990,7338,37013,91948,4728,25928,16691
Male-55-64 years,330007,2037,6368,5552,1585,370,2228,615,188776,8253,3574,18421,48315,3278,9191,10518
Male-45-54 years,297788,1626,5817,4336,1447,327,1260,327,183227,4290,2712,16833,41585,3441,5072,9228
Male-20-44 years,739578,3874,17189,11650,3582,788,2407,680,438623,7524,5809,38468,111498,9076,10239,28154
Male-Less than 20 years,264172,3997,6120,5478,1145,225,716,368,148579,1799,4362,12660,44131,6488,2936,12414
Female-65 years and older,690135,3353,10609,13198,2909,517,6218,2443,357168,23122,8264,42566,118266,5718,31575,19259
Female-55-64 years,375478,2191,7136,6573,1725,317,2609,740,212399,9596,4113,20749,57787,3598,11637,11222
Female-45-54 years,320699,1600,5888,4866,1421,328,1396,372,198559,4841,2714,17109,47114,3728,6022,10170
Female-20-44 years,773284,3764,19567,12353,3618,759,2576,600,469754,7691,5690,35306,122602,9506,10501,26533
Female-Less than 20 years,270742,4069,6358,5865,1239,232,788,370,151471,1995,4479,12425,45209,6826,3193,12919
"Black or African American, non-Hispanic",140118,59,787,1581,93,53,89,39,102399,616,205,9199,16512,58,558,833
"Asian or Pacific Islander, non-Hispanic",177191,133,1636,1476,85,43,206,89,134052,1368,359,5148,21995,186,1436,1216
"American Indian or Alaska Native, non-Hispanic",199367,22634,22579,360,5203,122,2653,530,51825,736,21389,9813,15154,57,1430,1163
Unknown,426257,1120,12626,9620,4118,314,4603,1848,178822,11601,2326,29942,66432,3870,18957,29486
Other Race,666314,1141,8678,11865,1301,90,4159,1179,427782,14402,6312,31077,91175,3523,17257,18940
Hispanic or Latino,864864,570,7174,23191,3809,1977,1436,1342,445454,7189,2494,40816,177495,41220,8119,71443
"White, non-Hispanic",2175156,3654,41276,33138,6480,1782,12936,3925,1308597,54367,16006,126306,341162,7558,69688,34630
