Category,Apache
Total_doses_administered,60806
Total_people_one_dose,29311
Total_people_complete,22667
total_pouluation,29311
Male-65 years and older,2792
Male-55-64 years,2037
Male-45-54 years,1626
Male-20-44 years,3874
Male-Less than 20 years,3997
Female-65 years and older,3353
Female-55-64 years,2191
Female-45-54 years,1600
Female-20-44 years,3764
Female-Less than 20 years,4069
"Black or African American, non-Hispanic",59
"Asian or Pacific Islander, non-Hispanic",133
Hispanic or Latino,570
Unknown,1120
Other Race,1141
"White, non-Hispanic",3654
"American Indian or Alaska Native, non-Hispanic",22634
