Category,Graham
Total_doses_administered,43674
Total_people_one_dose,21089
Total_people_complete,18534
total_pouluation,21089
Male-65 years and older,2406
Male-55-64 years,1585
Male-45-54 years,1447
Male-20-44 years,3582
Male-Less than 20 years,1145
Female-65 years and older,2909
Female-55-64 years,1725
Female-45-54 years,1421
Female-20-44 years,3618
Female-Less than 20 years,1239
"Asian or Pacific Islander, non-Hispanic",85
"Black or African American, non-Hispanic",93
Other Race,1301
Hispanic or Latino,3809
Unknown,4118
"American Indian or Alaska Native, non-Hispanic",5203
"White, non-Hispanic",6480
