Category,La Paz
Total_doses_administered,18018
Total_people_one_dose,8952
Total_people_complete,7535
total_pouluation,8952
Male-65 years and older,2419
Male-55-64 years,615
Male-45-54 years,327
Male-20-44 years,680
Male-Less than 20 years,368
Female-65 years and older,2443
Female-55-64 years,740
Female-45-54 years,372
Female-20-44 years,600
Female-Less than 20 years,370
"Black or African American, non-Hispanic",39
"Asian or Pacific Islander, non-Hispanic",89
"American Indian or Alaska Native, non-Hispanic",530
Other Race,1179
Hispanic or Latino,1342
Unknown,1848
"White, non-Hispanic",3925
