Category,Cochise
Total_doses_administered,163756
Total_people_one_dose,81231
Total_people_complete,67003
total_pouluation,81231
Male-65 years and older,11259
Male-55-64 years,5552
Male-45-54 years,4336
Male-20-44 years,11650
Male-Less than 20 years,5478
Female-65 years and older,13198
Female-55-64 years,6573
Female-45-54 years,4866
Female-20-44 years,12353
Female-Less than 20 years,5865
"American Indian or Alaska Native, non-Hispanic",360
"Asian or Pacific Islander, non-Hispanic",1476
"Black or African American, non-Hispanic",1581
Unknown,9620
Other Race,11865
Hispanic or Latino,23191
"White, non-Hispanic",33138
