Category,Mohave
Total_doses_administered,185016
Total_people_one_dose,90279
Total_people_complete,76466
total_pouluation,90279
Male-65 years and older,20990
Male-55-64 years,8253
Male-45-54 years,4290
Male-20-44 years,7524
Male-Less than 20 years,1799
Female-65 years and older,23122
Female-55-64 years,9596
Female-45-54 years,4841
Female-20-44 years,7691
Female-Less than 20 years,1995
"Black or African American, non-Hispanic",616
"American Indian or Alaska Native, non-Hispanic",736
"Asian or Pacific Islander, non-Hispanic",1368
Hispanic or Latino,7189
Unknown,11601
Other Race,14402
"White, non-Hispanic",54367
