Category,Yavapai
Total_doses_administered,246180
Total_people_one_dose,117445
Total_people_complete,98950
total_pouluation,117445
Male-65 years and older,25928
Male-55-64 years,9191
Male-45-54 years,5072
Male-20-44 years,10239
Male-Less than 20 years,2936
Female-65 years and older,31575
Female-55-64 years,11637
Female-45-54 years,6022
Female-20-44 years,10501
Female-Less than 20 years,3193
"Black or African American, non-Hispanic",558
"American Indian or Alaska Native, non-Hispanic",1430
"Asian or Pacific Islander, non-Hispanic",1436
Hispanic or Latino,8119
Other Race,17257
Unknown,18957
"White, non-Hispanic",69688
