Category,Santa Cruz
Total_doses_administered,109354
Total_people_one_dose,56472
Total_people_complete,44581
total_pouluation,56472
Male-65 years and older,4728
Male-55-64 years,3278
Male-45-54 years,3441
Male-20-44 years,9076
Male-Less than 20 years,6488
Female-65 years and older,5718
Female-55-64 years,3598
Female-45-54 years,3728
Female-20-44 years,9506
Female-Less than 20 years,6826
"American Indian or Alaska Native, non-Hispanic",57
"Black or African American, non-Hispanic",58
"Asian or Pacific Islander, non-Hispanic",186
Other Race,3523
Unknown,3870
"White, non-Hispanic",7558
Hispanic or Latino,41220
