Category,Arizona
Total_doses_administered,9035685
Total_people_complete,430133
total_pouluation,7189020
Total_people_one_dose,4494260
Male-65 years and older,553192
Male-55-64 years,321595
Male-45-54 years,290516
Male-20-44 years,718668
Male-Less than 20 years,238255
Female-65 years and older,674935
Female-55-64 years,366468
Female-45-54 years,313669
Female-20-44 years,751401
Female-Less than 20 years,245810
"Black or African American, non-Hispanic",135168
"Asian or Pacific Islander, non-Hispanic",170536
"American Indian or Alaska Native, non-Hispanic",188832
Unknown,409817
Other Race,651103
Hispanic or Latino,821306
"White, non-Hispanic",2117498
