Category,Mohave
Total_doses_administered,173290
Total_people_one_dose,87701
Total_people_complete,74981
total_pouluation,87701
Male-65 years and older,20295
Male-55-64 years,8036
Male-45-54 years,4173
Male-20-44 years,7284
Male-Less than 20 years,1677
Female-65 years and older,22600
Female-55-64 years,9389
Female-45-54 years,4734
Female-20-44 years,7454
Female-Less than 20 years,1883
"Black or African American, non-Hispanic",589
"American Indian or Alaska Native, non-Hispanic",703
"Asian or Pacific Islander, non-Hispanic",1311
Hispanic or Latino,6858
Unknown,11422
Other Race,14126
"White, non-Hispanic",52692
