Category,Gila
Total_doses_administered,52943
Total_people_one_dose,25547
Total_people_complete,22687
total_pouluation,25547
Male-65 years and older,5724
Male-55-64 years,2202
Male-45-54 years,1239
Male-20-44 years,2354
Male-Less than 20 years,655
Female-65 years and older,6127
Female-55-64 years,2573
Female-45-54 years,1387
Female-20-44 years,2507
Female-Less than 20 years,721
"Black or African American, non-Hispanic",87
"Asian or Pacific Islander, non-Hispanic",201
Hispanic or Latino,1391
"American Indian or Alaska Native, non-Hispanic",2600
Other Race,4027
Unknown,4575
"White, non-Hispanic",12666
