Category,La Paz
Total_doses_administered,16789
Total_people_one_dose,8554
Total_people_complete,7413
total_pouluation,8554
Male-65 years and older,2330
Male-55-64 years,591
Male-45-54 years,317
Male-20-44 years,649
Male-Less than 20 years,312
Female-65 years and older,2367
Female-55-64 years,709
Female-45-54 years,363
Female-20-44 years,577
Female-Less than 20 years,321
"Black or African American, non-Hispanic",38
"Asian or Pacific Islander, non-Hispanic",88
"American Indian or Alaska Native, non-Hispanic",477
Other Race,1128
Hispanic or Latino,1261
Unknown,1768
"White, non-Hispanic",3794
