Category,Coconino
Total_doses_administered,190157
Total_people_one_dose,92026
Total_people_complete,80775
total_pouluation,92026
Male-65 years and older,9253
Male-55-64 years,6228
Male-45-54 years,5682
Male-20-44 years,16784
Male-Less than 20 years,5574
Female-65 years and older,10451
Female-55-64 years,7027
Female-45-54 years,5783
Female-20-44 years,19119
Female-Less than 20 years,5862
"Black or African American, non-Hispanic",759
"Asian or Pacific Islander, non-Hispanic",1540
Hispanic or Latino,6845
Other Race,8452
Unknown,12878
"American Indian or Alaska Native, non-Hispanic",21815
"White, non-Hispanic",39737
