Category,Yavapai
Total_doses_administered,230711
Total_people_one_dose,114528
Total_people_complete,97096
total_pouluation,114528
Male-65 years and older,25342
Male-55-64 years,8989
Male-45-54 years,4925
Male-20-44 years,9953
Male-Less than 20 years,2706
Female-65 years and older,31058
Female-55-64 years,11397
Female-45-54 years,5886
Female-20-44 years,10150
Female-Less than 20 years,2974
"Black or African American, non-Hispanic",531
"Asian or Pacific Islander, non-Hispanic",1376
"American Indian or Alaska Native, non-Hispanic",1388
Hispanic or Latino,7783
Other Race,16849
Unknown,19356
"White, non-Hispanic",67245
