Category,Arizona
Total_doses_administered,7090104
Total_people_complete,3428471
Total_doses_ordered,5275110
total_pouluation,7189020
Total_people_one_dose,3905672
Male-65 years and older,515392
Male-55-64 years,296303
Male-45-54 years,256592
Male-20-44 years,602918
Male-Less than 20 years,154621
Female-65 years and older,635902
Female-55-64 years,341397
Female-45-54 years,281876
Female-20-44 years,637926
Female-Less than 20 years,163327
"Black or African American, non-Hispanic",105776
"American Indian or Alaska Native, non-Hispanic",114780
"Asian or Pacific Islander, non-Hispanic",147761
Unknown,423636
Hispanic or Latino,649991
Other Race,658902
"White, non-Hispanic",1804826
