Category,Yavapai
Total_doses_administered,187941
Total_people_one_dose,107878
Total_people_complete,90264
Total_doses_ordered,168620
total_pouluation,232386
Male-65 years and older,23849
Male-55-64 years,8434
Male-45-54 years,4881
Male-20-44 years,9459
Male-Less than 20 years,1919
Female-65 years and older,29785
Female-55-64 years,10795
Female-45-54 years,5680
Female-20-44 years,9601
Female-Less than 20 years,2165
"Black or African American, non-Hispanic",545
"American Indian or Alaska Native, non-Hispanic",1066
"Asian or Pacific Islander, non-Hispanic",1407
Hispanic or Latino,6671
Other Race,16499
Unknown,27242
"White, non-Hispanic",54448
