Category,Pinal
Total_doses_administered,308946
Total_people_one_dose,177093
Total_people_complete,155577
Total_doses_ordered,197908
total_pouluation,455210
Male-65 years and older,29798
Male-55-64 years,13660
Male-45-54 years,12580
Male-20-44 years,28472
Male-Less than 20 years,5362
Female-65 years and older,34164
Female-55-64 years,14589
Female-45-54 years,11341
Female-20-44 years,21096
Female-Less than 20 years,5439
"Asian or Pacific Islander, non-Hispanic",3202
"Black or African American, non-Hispanic",5009
"American Indian or Alaska Native, non-Hispanic",8530
Other Race,18899
Hispanic or Latino,27844
Unknown,35732
"White, non-Hispanic",77877
