Category,Coconino
Total_doses_administered,149245
Total_people_one_dose,82115
Total_people_complete,73573
Total_doses_ordered,97508
total_pouluation,147275
Male-65 years and older,7681
Male-55-64 years,5987
Male-45-54 years,5404
Male-20-44 years,16263
Male-Less than 20 years,3099
Female-65 years and older,8782
Female-55-64 years,6719
Female-45-54 years,5539
Female-20-44 years,18749
Female-Less than 20 years,3812
"Black or African American, non-Hispanic",587
"Asian or Pacific Islander, non-Hispanic",1216
Hispanic or Latino,5729
Other Race,9497
Unknown,16917
"American Indian or Alaska Native, non-Hispanic",17124
"White, non-Hispanic",31045
