Category,Navajo
Total_doses_administered,74704
Total_people_one_dose,42037
Total_people_complete,35922
Total_doses_ordered,41410
total_pouluation,112825
Male-65 years and older,6799
Male-55-64 years,3510
Male-45-54 years,2482
Male-20-44 years,5229
Male-Less than 20 years,2788
Female-65 years and older,7471
Female-55-64 years,3769
Female-45-54 years,2504
Female-20-44 years,4564
Female-Less than 20 years,2887
"Black or African American, non-Hispanic",219
"Asian or Pacific Islander, non-Hispanic",401
Unknown,2139
Hispanic or Latino,2191
Other Race,8106
"White, non-Hispanic",14091
"American Indian or Alaska Native, non-Hispanic",14890
