Category,Maricopa
Total_doses_administered,2982435
Total_people_one_dose,1708130
Total_people_complete,1465304
Total_doses_ordered,1598808
total_pouluation,4367835
Male-65 years and older,179320
Male-55-64 years,125748
Male-45-54 years,124012
Male-20-44 years,285374
Male-Less than 20 years,76590
Female-65 years and older,232713
Female-55-64 years,145084
Female-45-54 years,137968
Female-20-44 years,310245
Female-Less than 20 years,79298
"American Indian or Alaska Native, non-Hispanic",36155
"Black or African American, non-Hispanic",65502
"Asian or Pacific Islander, non-Hispanic",80358
Unknown,169560
Other Race,261546
Hispanic or Latino,307912
"White, non-Hispanic",787097
