Category,Santa Cruz
Total_doses_administered,68783
Total_people_one_dose,38558
Total_people_complete,34582
Total_doses_ordered,49212
total_pouluation,53161
Male-65 years and older,3592
Male-55-64 years,2615
Male-45-54 years,3010
Male-20-44 years,7541
Male-Less than 20 years,2427
Female-65 years and older,4341
Female-55-64 years,2663
Female-45-54 years,2874
Female-20-44 years,6962
Female-Less than 20 years,2464
"American Indian or Alaska Native, non-Hispanic",16
"Black or African American, non-Hispanic",34
"Asian or Pacific Islander, non-Hispanic",98
Other Race,2014
Unknown,2337
"White, non-Hispanic",4771
Hispanic or Latino,29288
