Category,Apache
Total_doses_administered,31967
Total_people_one_dose,17984
Total_people_complete,11706
Total_doses_ordered,16600
total_pouluation,71808
Male-65 years and older,1915
Male-55-64 years,1271
Male-45-54 years,981
Male-20-44 years,2353
Male-Less than 20 years,2422
Female-65 years and older,2020
Female-55-64 years,1391
Female-45-54 years,970
Female-20-44 years,2142
Female-Less than 20 years,2509
"Asian or Pacific Islander, non-Hispanic",163
"Black or African American, non-Hispanic",274
Unknown,998
Other Race,1204
Hispanic or Latino,1761
"White, non-Hispanic",3130
"American Indian or Alaska Native, non-Hispanic",10454
