Category,Greenlee
Total_doses_administered,8471
Total_people_one_dose,4822
Total_people_complete,4238
Total_doses_ordered,10040
total_pouluation,10375
Male-65 years and older,552
Male-55-64 years,598
Male-45-54 years,486
Male-20-44 years,1030
Male-Less than 20 years,52
Female-65 years and older,527
Female-55-64 years,413
Female-45-54 years,366
Female-20-44 years,750
Female-Less than 20 years,45
"Black or African American, non-Hispanic",46
"Asian or Pacific Islander, non-Hispanic",49
"American Indian or Alaska Native, non-Hispanic",84
Other Race,130
Unknown,389
"White, non-Hispanic",2000
Hispanic or Latino,2124
