Category,Gila
Total_doses_administered,45997
Total_people_one_dose,24571
Total_people_complete,21799
total_pouluation,24571
Male-65 years and older,5526
Male-55-64 years,2152
Male-45-54 years,1209
Male-20-44 years,2252
Male-Less than 20 years,563
Female-65 years and older,5967
Female-55-64 years,2495
Female-45-54 years,1344
Female-20-44 years,2375
Female-Less than 20 years,630
"Black or African American, non-Hispanic",78
"Asian or Pacific Islander, non-Hispanic",200
Hispanic or Latino,1316
"American Indian or Alaska Native, non-Hispanic",2371
Other Race,4438
Unknown,5106
"White, non-Hispanic",11062
