Category,Navajo
Total_doses_administered,80712
Total_people_one_dose,43452
Total_people_complete,36003
total_pouluation,43452
Male-65 years and older,6837
Male-55-64 years,3345
Male-45-54 years,2451
Male-20-44 years,5249
Male-Less than 20 years,3156
Female-65 years and older,7733
Female-55-64 years,3808
Female-45-54 years,2444
Female-20-44 years,5069
Female-Less than 20 years,3327
"Black or African American, non-Hispanic",182
"Asian or Pacific Islander, non-Hispanic",355
Hispanic or Latino,2216
Unknown,2538
Other Race,7891
"White, non-Hispanic",13490
"American Indian or Alaska Native, non-Hispanic",16780
