Category,Graham
Total_doses_administered,37311
Total_people_one_dose,19519
Total_people_complete,17291
total_pouluation,19519
Male-65 years and older,2320
Male-55-64 years,1534
Male-45-54 years,1378
Male-20-44 years,3354
Male-Less than 20 years,825
Female-65 years and older,2793
Female-55-64 years,1662
Female-45-54 years,1352
Female-20-44 years,3360
Female-Less than 20 years,929
"Black or African American, non-Hispanic",80
"Asian or Pacific Islander, non-Hispanic",90
Other Race,1533
Hispanic or Latino,3408
Unknown,4165
"American Indian or Alaska Native, non-Hispanic",4707
"White, non-Hispanic",5536
