Category,Cochise
Total_doses_administered,129448
Total_people_one_dose,70780
Total_people_complete,62176
total_pouluation,70780
Male-65 years and older,10376
Male-55-64 years,5036
Male-45-54 years,3881
Male-20-44 years,10520
Male-Less than 20 years,3339
Female-65 years and older,12400
Female-55-64 years,6149
Female-45-54 years,4404
Female-20-44 years,11077
Female-Less than 20 years,3504
"American Indian or Alaska Native, non-Hispanic",306
"Asian or Pacific Islander, non-Hispanic",1327
"Black or African American, non-Hispanic",1352
Unknown,9426
Other Race,11471
Hispanic or Latino,17648
"White, non-Hispanic",29250
