Category,Yavapai
Total_doses_administered,199128
Total_people_one_dose,108826
Total_people_complete,92254
total_pouluation,108826
Male-65 years and older,23922
Male-55-64 years,8700
Male-45-54 years,4745
Male-20-44 years,9437
Male-Less than 20 years,2211
Female-65 years and older,29827
Female-55-64 years,11086
Female-45-54 years,5641
Female-20-44 years,9588
Female-Less than 20 years,2521
"Black or African American, non-Hispanic",483
"American Indian or Alaska Native, non-Hispanic",1221
"Asian or Pacific Islander, non-Hispanic",1231
Hispanic or Latino,7176
Other Race,17021
Unknown,24935
"White, non-Hispanic",56759
