Category,Arizona
Total_doses_administered,8073665
Total_people_complete,359064
total_pouluation,7189020
Total_people_one_dose,4217799
Male-65 years and older,527267
Male-55-64 years,309362
Male-45-54 years,278684
Male-20-44 years,682359
Male-Less than 20 years,187603
Female-65 years and older,647890
Female-55-64 years,353465
Female-45-54 years,301752
Female-20-44 years,713865
Female-Less than 20 years,196030
"Black or African American, non-Hispanic",119715
"Asian or Pacific Islander, non-Hispanic",153379
"American Indian or Alaska Native, non-Hispanic",158573
Unknown,461947
Other Race,681357
Hispanic or Latino,746050
"White, non-Hispanic",1896778
