Category,La Paz
Total_doses_administered,14948
Total_people_one_dose,8065
Total_people_complete,7074
total_pouluation,8065
Male-65 years and older,2232
Male-55-64 years,579
Male-45-54 years,301
Male-20-44 years,595
Male-Less than 20 years,243
Female-65 years and older,2285
Female-55-64 years,679
Female-45-54 years,353
Female-20-44 years,536
Female-Less than 20 years,246
"Black or African American, non-Hispanic",32
"Asian or Pacific Islander, non-Hispanic",85
"American Indian or Alaska Native, non-Hispanic",360
Hispanic or Latino,1163
Other Race,1172
Unknown,1856
"White, non-Hispanic",3397
