Category,Mohave
Total_doses_administered,152319
Total_people_one_dose,83263
Total_people_complete,70365
total_pouluation,83263
Male-65 years and older,19171
Male-55-64 years,7744
Male-45-54 years,3994
Male-20-44 years,6868
Male-Less than 20 years,1435
Female-65 years and older,21674
Female-55-64 years,9110
Female-45-54 years,4523
Female-20-44 years,6957
Female-Less than 20 years,1614
"Black or African American, non-Hispanic",516
"American Indian or Alaska Native, non-Hispanic",612
"Asian or Pacific Islander, non-Hispanic",1185
Hispanic or Latino,6386
Unknown,13040
Other Race,14966
"White, non-Hispanic",46558
