Category,Santa Cruz
Total_doses_administered,84618
Total_people_one_dose,45776
Total_people_complete,41256
total_pouluation,45776
Male-65 years and older,4364
Male-55-64 years,3024
Male-45-54 years,3131
Male-20-44 years,8423
Male-Less than 20 years,3218
Female-65 years and older,5261
Female-55-64 years,3273
Female-45-54 years,3325
Female-20-44 years,8373
Female-Less than 20 years,3330
"Black or African American, non-Hispanic",46
"American Indian or Alaska Native, non-Hispanic",47
"Asian or Pacific Islander, non-Hispanic",167
Unknown,2864
Other Race,3122
"White, non-Hispanic",6687
Hispanic or Latino,32843
