Category,value
Hospitalizations,79378
Yuma,2521
Yavapai,2362
Santa Cruz,612
Pinal,5294
Pima,8574
Navajo,2057
Mohave,2649
Maricopa,50100
La Paz,302
Greenlee,58
Graham,403
Gila,846
Coconino,1634
Cochise,877
Apache,1089
Male,41663
Female,37672
65 years and older,33664
55-64 years,14533
45-54 years,11270
20-44 years,16910
Less than 20 years,2958
Unknown,2040
Other Race,3447
"Asian or Pacific Islander, non-Hispanic",1331
"Black or African American, non-Hispanic",3925
"American Indian or Alaska Native, non-Hispanic",5699
Hispanic or Latino,24993
"White, non-Hispanic",37943
