Category,Greenlee
Total_doses_administered,8109
Total_people_one_dose,4583
Total_people_complete,4052
Total_doses_ordered,9800
total_pouluation,10375
Male-65 years and older,525
Male-55-64 years,577
Male-45-54 years,470
Male-20-44 years,949
Male-Less than 20 years,43
Female-65 years and older,512
Female-55-64 years,403
Female-45-54 years,358
Female-20-44 years,703
Female-Less than 20 years,41
"Black or African American, non-Hispanic",0.0091643028583897
"Asian or Pacific Islander, non-Hispanic",0.0104734889810168
"American Indian or Alaska Native, non-Hispanic",0.0172376172812568
Other Race,0.0279293039493781
Unknown,0.0746236089897447
"White, non-Hispanic",0.4156665939341043
Hispanic or Latino,0.4449050840061095
