Category,Graham
Total_doses_administered,48158
Total_people_one_dose,22210
Total_people_complete,19155
total_pouluation,22210
Male-65 years and older,2456
Male-55-64 years,1620
Male-45-54 years,1485
Male-20-44 years,3736
Male-Less than 20 years,1414
Female-65 years and older,2960
Female-55-64 years,1756
Female-45-54 years,1452
Female-20-44 years,3787
Female-Less than 20 years,1532
"Asian or Pacific Islander, non-Hispanic",90
"Black or African American, non-Hispanic",98
Other Race,1330
Hispanic or Latino,4039
Unknown,4155
"American Indian or Alaska Native, non-Hispanic",5747
"White, non-Hispanic",6751
