Category,La Paz
Total_doses_administered,19018
Total_people_one_dose,9319
Total_people_complete,7637
total_pouluation,9319
Male-65 years and older,2520
Male-55-64 years,654
Male-45-54 years,336
Male-20-44 years,709
Male-Less than 20 years,398
Female-65 years and older,2508
Female-55-64 years,768
Female-45-54 years,385
Female-20-44 years,631
Female-Less than 20 years,391
"Black or African American, non-Hispanic",44
"Asian or Pacific Islander, non-Hispanic",94
"American Indian or Alaska Native, non-Hispanic",557
Other Race,1220
Hispanic or Latino,1399
Unknown,1920
"White, non-Hispanic",4085
