Category,Gila
Total_doses_administered,59726
Total_people_one_dose,27141
Total_people_complete,23476
total_pouluation,27141
Male-65 years and older,5988
Male-55-64 years,2270
Male-45-54 years,1291
Male-20-44 years,2538
Male-Less than 20 years,890
Female-65 years and older,6370
Female-55-64 years,2665
Female-45-54 years,1431
Female-20-44 years,2709
Female-Less than 20 years,932
"Black or African American, non-Hispanic",97
"Asian or Pacific Islander, non-Hispanic",217
Hispanic or Latino,1540
"American Indian or Alaska Native, non-Hispanic",2923
Other Race,4366
Unknown,4579
"White, non-Hispanic",13419
