Category,Cochise
Total_doses_administered,127950
Total_people_one_dose,71341
Total_people_complete,62901
Total_doses_ordered,94300
total_pouluation,130808
Male-65 years and older,11022
Male-55-64 years,5328
Male-45-54 years,3965
Male-20-44 years,10460
Male-Less than 20 years,2997
Female-65 years and older,13047
Female-55-64 years,6430
Female-45-54 years,4543
Female-20-44 years,10413
Female-Less than 20 years,3044
"American Indian or Alaska Native, non-Hispanic",342
"Asian or Pacific Islander, non-Hispanic",1348
"Black or African American, non-Hispanic",1364
Unknown,9603
Other Race,10813
Hispanic or Latino,17455
"White, non-Hispanic",30416
