Category,Yavapai
Total_doses_administered,200040
Total_people_one_dose,114094
Total_people_complete,96244
Total_doses_ordered,174846
total_pouluation,232386
Male-65 years and older,24738
Male-55-64 years,8838
Male-45-54 years,5242
Male-20-44 years,10404
Male-Less than 20 years,2260
Female-65 years and older,30831
Female-55-64 years,11250
Female-45-54 years,6110
Female-20-44 years,10593
Female-Less than 20 years,2513
"Black or African American, non-Hispanic",640
"American Indian or Alaska Native, non-Hispanic",1191
"Asian or Pacific Islander, non-Hispanic",1498
Hispanic or Latino,7417
Other Race,17569
Unknown,27860
"White, non-Hispanic",57919
