Category,Arizona
Total_doses_administered,7762609
Total_people_complete,3729284
Total_doses_ordered,5410140
total_pouluation,7189020
Total_people_one_dose,4212451
Male-65 years and older,547777
Male-55-64 years,310261
Male-45-54 years,275269
Male-20-44 years,665197
Male-Less than 20 years,178608
Female-65 years and older,672403
Female-55-64 years,356451
Female-45-54 years,300233
Female-20-44 years,699868
Female-Less than 20 years,186616
"Black or African American, non-Hispanic",117842
"American Indian or Alaska Native, non-Hispanic",126985
"Asian or Pacific Islander, non-Hispanic",155256
Unknown,447914
Other Race,703118
Hispanic or Latino,727514
"White, non-Hispanic",1933822
