Category,Coconino
Total_doses_administered,158551
Total_people_one_dose,86908
Total_people_complete,77818
Total_doses_ordered,109804
total_pouluation,147275
Male-65 years and older,8227
Male-55-64 years,6238
Male-45-54 years,5640
Male-20-44 years,17305
Male-Less than 20 years,3476
Female-65 years and older,9320
Female-55-64 years,6926
Female-45-54 years,5780
Female-20-44 years,19777
Female-Less than 20 years,4123
"Black or African American, non-Hispanic",655
"Asian or Pacific Islander, non-Hispanic",1318
Hispanic or Latino,6427
Other Race,9982
Unknown,17206
"American Indian or Alaska Native, non-Hispanic",18161
"White, non-Hispanic",33159
