Category,Santa Cruz
Total_doses_administered,74191
Total_people_one_dose,41136
Total_people_complete,37193
Total_doses_ordered,49512
total_pouluation,53161
Male-65 years and older,3689
Male-55-64 years,2688
Male-45-54 years,3166
Male-20-44 years,8127
Male-Less than 20 years,2837
Female-65 years and older,4465
Female-55-64 years,2724
Female-45-54 years,2988
Female-20-44 years,7517
Female-Less than 20 years,2865
"American Indian or Alaska Native, non-Hispanic",19
"Black or African American, non-Hispanic",38
"Asian or Pacific Islander, non-Hispanic",101
Other Race,2087
Unknown,2394
"White, non-Hispanic",4966
Hispanic or Latino,31531
