Category,Apache
Total_doses_administered,35600
Total_people_one_dose,19981
Total_people_complete,13329
Total_doses_ordered,18600
total_pouluation,71808
Male-65 years and older,2066
Male-55-64 years,1404
Male-45-54 years,1103
Male-20-44 years,2723
Male-Less than 20 years,2612
Female-65 years and older,2216
Female-55-64 years,1533
Female-45-54 years,1119
Female-20-44 years,2531
Female-Less than 20 years,2664
"Asian or Pacific Islander, non-Hispanic",178
"Black or African American, non-Hispanic",303
Unknown,1081
Other Race,1329
Hispanic or Latino,2003
"White, non-Hispanic",3461
"American Indian or Alaska Native, non-Hispanic",11626
