Category,Pinal
Total_doses_administered,325523
Total_people_one_dose,186450
Total_people_complete,164970
Total_doses_ordered,199932
total_pouluation,455210
Male-65 years and older,30243
Male-55-64 years,14109
Male-45-54 years,13239
Male-20-44 years,31505
Male-Less than 20 years,6224
Female-65 years and older,34685
Female-55-64 years,14991
Female-45-54 years,11864
Female-20-44 years,22848
Female-Less than 20 years,6148
"Asian or Pacific Islander, non-Hispanic",3339
"Black or African American, non-Hispanic",5380
"American Indian or Alaska Native, non-Hispanic",8941
Other Race,20071
Hispanic or Latino,29811
Unknown,37644
"White, non-Hispanic",81264
