Category,Coconino
Total_doses_administered,153537
Total_people_one_dose,84235
Total_people_complete,75686
Total_doses_ordered,97548
total_pouluation,147275
Male-65 years and older,7875
Male-55-64 years,6104
Male-45-54 years,5519
Male-20-44 years,16762
Male-Less than 20 years,3286
Female-65 years and older,8949
Female-55-64 years,6826
Female-45-54 years,5624
Female-20-44 years,19205
Female-Less than 20 years,3999
"Black or African American, non-Hispanic",628
"Asian or Pacific Islander, non-Hispanic",1279
Hispanic or Latino,6067
Other Race,9783
Unknown,16978
"American Indian or Alaska Native, non-Hispanic",17615
"White, non-Hispanic",31885
