Category,Maricopa
Total_doses_administered,3165934
Total_people_one_dose,1803066
Total_people_complete,1560882
Total_doses_ordered,1659789
total_pouluation,4367835
Male-65 years and older,184990
Male-55-64 years,130325
Male-45-54 years,130699
Male-20-44 years,306276
Male-Less than 20 years,85482
Female-65 years and older,239348
Female-55-64 years,150013
Female-45-54 years,144418
Female-20-44 years,331882
Female-Less than 20 years,87802
"American Indian or Alaska Native, non-Hispanic",38300
"Black or African American, non-Hispanic",70092
"Asian or Pacific Islander, non-Hispanic",83156
Unknown,176052
Other Race,277411
Hispanic or Latino,333053
"White, non-Hispanic",825002
