Category,Yuma
Total_doses_administered,221071
Total_people_one_dose,125232
Total_people_complete,105948
Total_doses_ordered,149958
total_pouluation,229957
Male-65 years and older,16110
Male-55-64 years,9035
Male-45-54 years,8008
Male-20-44 years,23467
Male-Less than 20 years,5756
Female-65 years and older,18214
Female-55-64 years,9479
Female-45-54 years,8254
Female-20-44 years,20377
Female-Less than 20 years,6131
"Black or African American, non-Hispanic",728
"Asian or Pacific Islander, non-Hispanic",759
"American Indian or Alaska Native, non-Hispanic",1632
Other Race,11151
"White, non-Hispanic",22501
Unknown,33729
Hispanic or Latino,54732
