Category,Arizona,Apache,Coconino,Cochise,Graham,Greenlee,Gila,La Paz,Maricopa,Mohave,Navajo,Pinal,Pima,Santa Cruz,Yavapai,Yuma
Total_doses_administered,7409593,33890,153537,123657,22607,9022,54529,17992,3165934,159789,78474,325523,972231,71963,194439,221071
Total_people_complete,3574752,12605,75686,61028,11127,4383,26394,8841,1560882,75973,37485,164970,484124,36049,93313,105948
Total_doses_ordered,5346480,16800,97548,90990,21350,10850,37560,19000,1659789,133190,44200,199932,626302,49312,172400,149958
total_pouluation,7189020,71808,147275,130808,38476,10375,55159,22085,4367835,216985,112825,455210,1044675,53161,232386,229957
Total_people_one_dose,4053876,18996,84235,69390,12686,5210,29822,9921,1803066,91599,44205,186450,545338,40232,111235,125232
Male-65 years and older,525070,1980,7875,10837,1693,567,5951,3161,184990,21858,7021,30243,73773,3638,24241,16110
Male-55-64 years,303416,1320,6104,5247,1026,619,2669,701,130325,8614,3658,14109,37429,2661,8678,9035
Male-45-54 years,266501,1047,5519,3859,915,529,1652,337,130699,4466,2600,13239,32605,3111,5085,8008
Male-20-44 years,635686,2553,16762,10018,2159,1122,3306,586,306276,7505,5451,31505,80901,7968,9979,23467
Male-Less than 20 years,168925,2538,3286,2828,452,100,791,162,85482,1377,3120,6224,22088,2674,2152,5756
Female-65 years and older,647178,2087,8949,12833,2133,537,6312,3063,239348,24374,7714,34685,97114,4413,30248,18214
Female-55-64 years,348876,1450,6826,6322,1178,426,2974,862,150013,10013,3922,14991,46111,2691,11089,9479
Female-45-54 years,291227,1048,5624,4414,828,388,1748,361,144418,4748,2611,11864,38211,2960,5930,8254
Female-20-44 years,670257,2342,19205,10044,1774,828,3427,495,331882,6998,4834,22848,92718,7361,10118,20377
Female-Less than 20 years,177192,2621,3999,2896,517,91,930,171,87802,1487,3240,6148,23431,2685,2402,6131
"Black or African American, non-Hispanic",111636,290,628,1318,75,47,100,32,70092,647,228,5380,10755,35,611,728
"American Indian or Alaska Native, non-Hispanic",120436,11002,17615,333,1083,97,6071,219,38300,956,15636,8941,11583,18,1133,1632
"Asian or Pacific Islander, non-Hispanic",151381,171,1279,1324,65,51,262,76,83156,1325,422,3339,13727,99,1456,759
Unknown,433837,1023,16978,9315,4002,472,5476,2665,176052,15319,2240,37644,84123,2359,27523,33729
Other Race,683016,1292,9783,10548,970,143,4958,1144,277411,16166,8448,20071,69547,2055,17113,11151
Hispanic or Latino,692253,1893,6067,16915,2089,2266,1370,1081,333053,6620,2309,29811,130694,30787,7102,54732
"White, non-Hispanic",1861317,3325,31885,29637,4402,2134,11585,4704,825002,50566,14922,81264,224909,4879,56297,22501
